iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
TJK,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,7.840140000000001,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
TJK,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,3.92007,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
TJK,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,2399.08284,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
TJK,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,2187.39906,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.216114
TKM,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2,1092817.9899999984,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.562339
TKM,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,36.96759,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.562339
TKM,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,783.1214269999999,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.562339
TKM,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,1168359.6336279984,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.562339
TKM,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,1124541.8013059983,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.562339
TLS,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,0.925987,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.562339
TLS,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,4.6545879999999995,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.562339
TLS,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2,140729.281,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:08:07.95495
TON,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,n2o,0.258278,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.562339
TON,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,ch4,1.149464,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.562339
TON,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_20yr,164.74036800000002,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.562339
TON,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2e_100yr,100.628662,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:44:28.562339
